Aaron Rodgers,291
Carson Wentz,244
Dak Prescott,303
Daniel Jones,258
Davis Mills,216
Derek Carr,269
Drew Lock,225
Jalen Hurts,355
Jameis Winston,248
Jared Goff,241
Joe Burrow,319
Josh Allen,378
Justin Fields,248
Justin Herbert,358
Kenny Pickett,126
Kirk Cousins,303
Kyler Murray,350
Lamar Jackson,340
Mac Jones,261
Marcus Mariota,228
Matt Corral,68
Matt Ryan,250
Matthew Stafford,296
Patrick Mahomes,337
Russell Wilson,327
Ryan Tannehill,247
Sam Darnold,139
Tom Brady,329
Trevor Lawrence,257
Trey Lance,306
Tua Tagovailoa,259
Zach Wilson,239
A.J. Brown,190
A.J. Green,111
Aaron Jones,230
Adam Thielen,184
Adam Trautman,71
AJ Dillon,180
Albert Okwuegbunam,111
Alec Pierce,118
Alexander Mattison,91
Allen Lazard,151
Allen Robinson II,155
Alvin Kamara,206
Amari Cooper,168
Amon-Ra St. Brown,178
Anthony Schwartz,60
Antonio Gibson,192
Austin Ekeler,279
Austin Hooper,94
Boston Scott,73
Brandin Cooks,197
Brandon Aiyuk,142
Breece Hall,199
Brevin Jordan,83
Byron Pringle,114
C.J. Uzomah,72
Cam Akers,180
Cameron Brate,96
Cedrick Wilson Jr.,108
CeeDee Lamb,226
Chase Claypool,154
Chase Edmonds,174
Chris Godwin,179
Chris Olave,135
Christian Kirk,176
Christian McCaffrey,314
Christian Watson,106
Clyde Edwards-Helaire,179
Cole Kmet,131
Cooper Kupp,311
Cordarrelle Patterson,192
Corey Davis,122
Courtland Sutton,197
Curtis Samuel,119
D'Andre Swift,239
Dallas Goedert,150
Dalton Schultz,176
Dalvin Cook,248
Dameon Pierce,96
Damien Harris,170
Damien Williams,91
Darnell Mooney,182
Darrel Williams,123
Darrell Henderson Jr.,123
Darren Waller,185
Davante Adams,255
David Bell,77
David Montgomery,214
David Njoku,104
Dawson Knox,141
DeAndre Hopkins,126
Deebo Samuel,224
Derrick Henry,268
DeVante Parker,159
Devin Duvernay,104
Devin Singletary,157
DeVonta Smith,166
Diontae Johnson,189
DJ Chark Jr.,120
DJ Moore,199
DK Metcalf,179
Donovan Peoples-Jones,122
Drake London,151
Elijah Mitchell,176
Elijah Moore,177
Evan Engram,115
Ezekiel Elliott,231
Gabriel Davis,163
Garrett Wilson,148
George Kittle,165
George Pickens,71
Gerald Everett,125
Gus Edwards,107
Hayden Hurst,89
Hunter Henry,128
Hunter Renfrow,173
Irv Smith Jr.,138
Isaiah Spiller,98
J.D. McKissic,116
J.K. Dobbins,170
Ja'Marr Chase,253
Jahan Dotson,123
Jakobi Meyers,132
Jalen Tolbert,74
Jamaal Williams,122
James Conner,237
James Cook,99
James Robinson,90
James Washington,83
Jameson Williams,127
Jamison Crowder,119
Jarvis Landry,142
Javonte Williams,218
Jaylen Waddle,192
Jeff Wilson Jr.,64
Jerry Jeudy,184
Joe Mixon,258
John Metchie III,102
Jonathan Taylor,314
Jonnu Smith,53
Josh Jacobs,203
Joshua Palmer,114
JuJu Smith-Schuster,164
Justin Jefferson,298
K.J. Osborn,135
Kadarius Toney,141
Kareem Hunt,174
Keenan Allen,199
Kendrick Bourne,126
Kenneth Gainwell,95
Kenneth Walker III,128
Kenny Golladay,134
Kenyan Drake,92
Khalil Herbert,72
Kyle Pitts,169
Laviska Shenault Jr.,81
Leonard Fournette,235
Logan Thomas,110
Mark Andrews,220
Mark Ingram II,121
Marlon Mack,57
Marquez Valdes-Scantling,145
Marquise Brown,195
Marvin Jones Jr.,141
Mecole Hardman,121
Melvin Gordon III,147
Michael Carter,112
Michael Gallup,138
Michael Pittman Jr.,202
Michael Thomas,172
Mike Evans,234
Mike Gesicki,120
Mike Williams,216
Miles Sanders,174
Mo Alie-Cox,99
Najee Harris,238
Nelson Agholor,53
Nick Chubb,222
Nico Collins,101
Noah Fant,127
Nyheim Hines,104
Olamide Zaccheaus,78
Parris Campbell,77
Pat Freiermuth,127
Rachaad White,112
Raheem Mostert,100
Randall Cobb,130
Rashaad Penny,174
Rashod Bateman,165
Rex Burkhead,97
Rhamondre Stevenson,124
Ricky Seals-Jones,82
Robby Anderson,120
Robert Tonyan,96
Robert Woods,168
Ronald Jones II,108
Rondale Moore,119
Russell Gage,136
Sammy Watkins,97
Saquon Barkley,202
Skyy Moore,106
Stefon Diggs,250
Sterling Shepard,47
T.J. Hockenson,154
Tee Higgins,209
Terrace Marshall Jr.,81
Terry McLaurin,180
Tim Patrick,146
Tommy Tremble,63
Tony Pollard,154
Travis Etienne Jr.,184
Travis Kelce,213
Trey McBride,54
Treylon Burks,126
Tyler Allgeier,63
Tyler Boyd,141
Tyler Higbee,116
Tyler Lockett,153
Tyquan Thornton,46
Tyreek Hill,210
Tyrion Davis-Price,42
Van Jefferson,142
Velus Jones Jr.,64
Wan'Dale Robinson,90
Will Dissly,44
Zach Ertz,148
Zay Jones,92
