Breece Hall,RB,NYJ 
Drake London,WR,ATL 
Garrett Wilson,WR,NYJ 
Treylon Burks,WR,TEN 
Kenneth Walker III,RB,SEA 
Jameson Williams,WR,DET 
Chris Olave,WR,NO 
Skyy Moore,WR,KC 
Christian Watson,WR,GB 
Jahan Dotson,WR,WAS 
George Pickens,WR,PIT 
James Cook,RB,BUF 
Rachaad White,RB,TB 
David Bell,WR,CLE 
Dameon Pierce,RB,HOU 
Isaiah Spiller,RB,LAC 
John Metchie III,WR,HOU 
Kenny Pickett,QB,PIT 
Trey McBride,TE,ARI 
Alec Pierce,WR,IND 
Jalen Tolbert,WR,DAL 
Wan'Dale Robinson,WR,NYG 
Brian Robinson Jr.,RB,WAS 
Malik Willis,QB,TEN 
Zamir White,RB,LV 
Tyler Allgeier,RB,ATL 
Desmond Ridder,QB,ATL 
Matt Corral,QB,CAR 
