Russell Wilson,Den
Matt Ryan,Ind
Carson Wentz,Was
Marcus Mariota,Atl
Mitchell Trubisky,Pit
Drew Lock,Sea
Andy Dalton,NO
Case Keenum,Buf
Davis Webb,NYG
Jacob Eason,Sea
Jacoby Brissett,Cle
Josh Johnson,Den
Kevin Hogan,Hou
Kyle Allen,Hou
Nathan Peterman,Chi
Nick Foles,Ind
Nick Mullens,LV
Teddy Bridgewater,Mia
Trevor Siemian,Chi
Tyrod Taylor,NYG
Chase Edmonds,Mia
Ronald Jones II,KC
Sony Michel,Mia
Raheem Mostert,Mia
Marlon Mack,Hou
D'Onta Foreman,Car
Mark Ingram II,NO
Darrel Williams,Ari
Damien Williams,Atl
Matt Breida,NYG
Mike Davis,Bal
Phillip Lindsay,Ind
Darrynton Evans,Chi
Duke Johnson Jr.,Buf
Davante Adams,LV
A.J. Brown,Phi
Tyreek Hill,Mia
Marquise Brown,Ari
Amari Cooper,Cle
Allen Robinson II,LAR
JuJu Smith-Schuster,KC
Russell Gage,TB
Christian Kirk,Jax
Marquez Valdes-Scantling,KC
Robert Woods,Ten
DeVante Parker,NE
Jarvis Landry,NO
DJ Chark Jr.,Det
Jamison Crowder,Buf
Bryan Edwards,Atl
Cedrick Wilson Jr.,Mia
Sammy Watkins,GB
Zay Jones,Jax
Byron Pringle,Chi
James Washington,Dal
Josh Reynolds,Det
Demarcus Robinson,LV
Mack Hollins,LV
Zach Ertz,Ari
Gerald Everett,LAC
Noah Fant,Sea
Evan Engram,Jax
Hayden Hurst,Cin
Austin Hooper,Ten
C.J. Uzomah,NYJ
Tyler Conklin,NYJ
Dan Arnold,Jax
Ricky Seals-Jones,NYG
O.J. Howard,Buf
Anthony Firkser,Atl
Jordan Akins,NYG
Dustin Hopkins,LAC
Greg Zuerlein,NYJ
