,GP,Fan Pts,Yards,Touchdowns,Rec
Lamar Jackson,15,415,4333,43,0
Christian McCaffrey,16,415,2392,19,116
Dak Prescott,16,337,5179,33,0
Russell Wilson,16,328,4452,34,0
Deshaun Watson,15,318,4271,34,1
Jameis Winston,16,301,5359,34,0
Michael Thomas,16,300,1716,9,149
Aaron Jones,16,289,1558,19,49
Patrick Mahomes,14,285,4249,28,0
Josh Allen,16,286,3599,29,0
Kyler Murray,16,285,4266,24,0
Ezekiel Elliott,16,285,1777,14,54
Derrick Henry,15,284,1746,18,18
Aaron Rodgers,16,274,4185,27,0
Carson Wentz,16,273,4282,28,0
Dalvin Cook,14,264,1654,13,53
Tom Brady,16,264,4091,27,0
Matt Ryan,15,263,4613,27,0
Austin Ekeler,16,261,1550,11,92
Jared Goff,16,243,4678,24,0
Jimmy Garoppolo,16,242,4040,28,0
Kirk Cousins,15,241,3666,27,0
Derek Carr,16,241,4136,23,0
Ryan Fitzpatrick,15,239,3772,24,0
Nick Chubb,16,235,1772,8,36
Chris Godwin,14,239,1341,9,86
Philip Rivers,16,233,4644,23,0
Mark Ingram II,15,229,1265,15,26
Baker Mayfield,16,228,3968,25,0
Drew Brees,11,225,2975,28,0
Julio Jones,15,228,1391,6,99
Cooper Kupp,16,227,1165,10,94
Gardner Minshew II,14,223,3615,21,0
Ryan Tannehill,12,223,2927,26,0
Leonard Fournette,15,222,1674,3,76
Saquon Barkley,13,219,1441,8,52
DeAndre Hopkins,15,218,1189,8,104
Kenny Golladay,16,220,1190,11,65
Jacoby Brissett,15,215,3172,22,1
Tyler Lockett,16,211,1052,8,82
DeVante Parker,16,212,1202,9,72
Chris Carson,15,210,1496,9,37
Keenan Allen,16,213,1215,6,104
Alvin Kamara,14,209,1343,6,81
Miles Sanders,16,208,1327,6,50
Joe Mixon,16,208,1424,8,35
Amari Cooper,16,208,1195,8,79
Julian Edelman,16,207,1191,7,100
Allen Robinson II,16,207,1149,7,98
Travis Kelce,16,206,1233,6,97
Daniel Jones,13,208,3306,26,0
Todd Gurley II,15,203,1064,14,31
Mitchell Trubisky,15,202,3331,19,0
Mike Evans,13,203,1157,8,67
Andy Dalton,13,201,3563,20,1
Jarvis Landry,16,201,1184,6,83
A.J. Brown,16,192,1111,9,52
DJ Chark Jr.,15,190,1028,8,73
Kenyan Drake,14,191,1162,8,50
DJ Moore,15,192,1215,4,87
Robert Woods,15,190,1249,3,90
Courtland Sutton,16,187,1167,6,72
Sam Darnold,13,186,3086,21,0
John Brown,15,184,1095,7,72
Le'Veon Bell,15,181,1250,4,66
Josh Jacobs,13,182,1316,7,20
Phillip Lindsay,16,181,1207,7,35
George Kittle,14,186,1075,5,85
Michael Gallup,14,180,1107,6,66
Stefon Diggs,15,180,1191,6,63
Tyler Boyd,16,179,1069,5,90
Darren Waller,16,176,1150,3,90
Marlon Mack,14,174,1173,8,14
Mark Andrews,15,175,852,10,64
Zach Ertz,15,171,916,6,88
Kyle Allen,13,175,3428,19,0
Davante Adams,12,171,997,5,83
Devonta Freeman,14,169,1066,6,59
Calvin Ridley,13,167,900,7,63
James White,15,167,943,6,72
Matthew Stafford,8,165,2565,19,0
Odell Beckham Jr.,16,165,1065,4,74
Marvin Jones Jr.,13,166,779,9,62
Terry McLaurin,14,164,919,7,58
Deebo Samuel,15,161,961,6,57
Tyreek Hill,12,160,883,7,58
Jamison Crowder,16,164,837,6,78
Emmanuel Sanders,17,158,904,6,66
Melvin Gordon III,12,160,908,9,42
David Montgomery,16,158,1074,7,25
Darius Slayton,14,158,740,8,48
Raheem Mostert,16,166,952,10,14
DK Metcalf,16,156,911,7,58
Austin Hooper,13,156,787,6,75
Cole Beasley,15,151,778,6,67
Ronald Jones II,16,151,1033,6,31
Mecole Hardman,16,148,555,6,26
Carlos Hyde,16,148,1112,6,10
Jared Cook,14,147,705,9,43
Sony Michel,16,147,1006,7,12
Curtis Samuel,16,150,757,7,54
Diontae Johnson,16,145,721,5,59
Tarik Cohen,16,141,669,3,79
Latavius Murray,16,140,872,6,34
Larry Fitzgerald,16,140,804,4,75
Mike Williams,15,139,1003,2,49
Adrian Peterson,15,138,1040,5,17
Robby Anderson,16,139,783,5,52
Christian Kirk,13,137,802,3,68
Steven Sims Jr.,16,135,395,5,34
Chris Conley,16,134,775,5,47
Devin Singletary,12,132,969,4,29
Golden Tate,11,133,692,6,49
Duke Johnson,16,134,820,5,44
Dede Westbrook,15,134,687,3,66
Randall Cobb,15,134,839,3,55
Zach Pascal,16,139,623,5,41
James Conner,10,128,715,7,34
Jamaal Williams,14,131,713,6,39
Tyler Higbee,15,128,734,3,69
Damien Williams,11,125,711,7,30
Tevin Coleman,14,126,724,7,21
David Johnson,13,125,715,6,36
Marquise Brown,14,123,584,7,46
Tyrell Williams,14,122,651,6,42
Hunter Henry,12,124,652,5,55
Royce Freeman,16,122,752,4,43
Breshad Perriman,14,123,661,6,36
Nyheim Hines,16,119,519,2,44
Dallas Goedert,15,119,607,5,58
Sterling Shepard,10,115,648,3,57
Danny Amendola,15,112,697,2,62
Sammy Watkins,14,113,685,3,52
Hunter Renfrow,13,111,605,4,49
James Washington,15,113,735,3,44
Will Fuller V,11,110,670,3,49
Mike Gesicki,16,112,570,5,51
Mason Rudolph,10,112,1807,13,0
Peyton Barber,16,109,585,7,16
Jason Witten,16,108,529,4,63
Jordan Howard,10,106,594,7,10
DeAndre Washington,16,106,679,3,36
T.Y. Hilton,10,104,501,5,45
LeSean McCoy,13,103,646,5,28
Anthony Miller,16,108,655,2,52
Alshon Jeffery,10,102,492,5,43
Case Keenum,10,101,1719,12,0
Kenny Stills,13,101,561,4,40
Adam Thielen,10,100,424,7,30
Greg Olsen,14,98,597,2,52
Boston Scott,11,98,449,5,24
Mohamed Sanu,15,99,531,2,59
Brandin Cooks,14,98,635,2,42
Kyle Rudolph,16,94,367,6,39
Corey Davis,15,95,601,2,43
Taysom Hill,16,96,445,7,19
Darren Fells,16,94,341,7,34
Tony Pollard,15,94,562,3,15
Matt Breida,13,94,743,2,19
JuJu Smith-Schuster,12,96,552,3,42
Teddy Bridgewater,9,90,1415,9,0
Jack Doyle,16,90,448,4,43
Noah Fant,16,92,550,3,40
