My Rank,ADP,Name,Pos,Team,Bye,SoS
1,1,Saquon Barkley,RB,NYG,11,15
2,2,Christian McCaffrey,RB,CAR,7,9
3,3,Alvin Kamara,RB,NO,9,22
6,4,DeAndre Hopkins,WR,HOU,10,26
14,5,Ezekiel Elliott,RB,DAL,8,25
4,6,David Johnson,RB,ARI,12,7
5,7,Davante Adams,WR,GB,11,21
8,8,LeVeon Bell,RB,NYJ,4,6
9,9,Julio Jones,WR,ATL,9,10
16,10,Michael Thomas,WR,NO,9,14
7,11,James Conner,RB,PIT,7,2
15,12,Nick Chubb,RB,CLE,7,13
20,13,Odell Beckham Jr,WR,NYG,11,19
10,14,Tyreek Hill,WR,KC,12,30
13,15,JuJu Smith-Schuster,WR,PIT,7,25
12,16,Todd Gurley,RB,LAR,9,18
19,17,Travis Kelce,TE,KC,12,8
11,18,Dalvin Cook,RB,MIN,12,8
17,19,Joe Mixon,RB,CIN,9,17
21,20,Mike Evans,WR,TB,7,8
25,21,Antonio Brown,WR,OAK,6,27
18,22,Kerryon Johnson,RB,DET,5,11
28,23,Keenan Allen,WR,LAC,12,24
23,24,Adam Thielen,WR,MIN,12,6
22,25,Pat Mahomes,QB,KC,12,32
26,26,Damien Williams,RB,KC,12,32
34,27,Leonard Fournette,RB,JAX,10,21
24,28,Devonta Freeman,RB,ATL,9,31
29,29,Aaron Jones,RB,GB,11,28
32,30,T.Y. Hilton,WR,IND,6,12
43,31,Amari Cooper,WR,DAL,8,9
45,32,Zach Ertz,TE,PHI,10,30
33,33,George Kittle,TE,SF,4,15
30,34,Melvin Gordon,RB,LAC,12,26
36,35,David Montgomery,RB,CHI,6,12
31,36,Josh Jacobs,RB,OAK,6,20
42,37,Stefon Diggs,WR,MIN,12,6
37,38,Julian Edelman,WR,NE,10,20
27,39,Chris Carson,RB,SEA,11,4
38,40,Marlon Mack,RB,IND,6,27
46,41,Brandin Cooks,WR,LAR,9,4
41,42,Robert Woods,WR,LAR,9,4
51,43,Derrick Henry,RB,TEN,11,16
57,44,Chris Godwin,WR,TB,7,8
59,45,Mark Ingram,RB,BAL,8,1
63,46,Kenny Golladay,WR,DET,5,22
35,47,Cooper Kupp,WR,LAR,9,4
58,48,Phillip Lindsay,RB,DEN,10,19
40,49,Tyler Lockett,WR,SEA,11,7
39,50,James White,RB,NE,10,5
47,51,Sony Michel,RB,NE,10,5
54,52,A.J. Green,WR,CIN,9,23
73,53,Calvin Ridley,WR,ATL,9,10
52,54,Tyler Boyd,WR,CIN,9,23
47,55,Tevin Coleman,RB,SF,4,3
60,56,O.J. Howard,TE,TB,7,23
44,57,Deshaun Watson,QB,HOU,10,13
84,58,Jarvis Landry,WR,CLE,7,19
82,59,Evan Engram,TE,NYG,11,32
48,60,Aaron Rodgers,QB,GB,11,29
64,61,D.J. Moore,WR,CAR,7,2
74,62,Mike Williams,WR,LAC,12,24
49,63,Miles Sanders,RB,PHI,10,23
61,64,Tarik Cohen,RB,CHI,6,12
50,65,Austin Ekeler,RB,LAC,12,26
66,66,Baker Mayfield,QB,CLE,7,28
83,67,Hunter Henry,TE,LAC,12,2
71,68,Alshon Jeffery,WR,PHI,10,18
70,69,Robby Anderson,WR,NYJ,4,28
65,70,Christian Kirk,WR,ARI,12,1
72,71,Lamar Miller,RB,HOU,10,29
98,72,Jared Cook,TE,NO,9,20
91,73,Allen Robinson,WR,CHI,6,11
85,74,Latavius Murray,RB,NO,9,22
53,75,Matt Ryan,QB,ATL,9,10
81,76,Will Fuller,WR,HOU,10,26
87,77,Vance McDonald,TE,PIT,7,11
117,78,Kenyan Drake,RB,MIA,5,10
62,79,Carson Wentz,QB,PHI,10,24
90,80,Curtis Samuel,WR,CAR,7,2
118,81,Rashaad Penny,RB,SEA,11,4
157,82,Derrius Guice,RB,WAS,10,24
86,83,Dante Pettis,WR,SF,4,3
67,84,Drew Brees,QB,NO,9,11
119,85,Darrell Henderson,RB,LAR,9,18
132,86,Eric Ebron,TE,IND,6,7
69,87,Larry Fitzgerald,WR,ARI,12,1
55,88,Andrew Luck,QB,IND,6,4
80,89,Dede Westbrook,WR,JAX,10,5
68,90,Geronimo Allison,WR,GB,11,21
120,91,Jordan Howard,RB,PHI,10,23
131,92,Kareem Hunt,RB,CLE,7,13
75,93,Kalen Ballage,RB,MIA,5,10
92,94,Royce Freeman,RB,DEN,10,19
116,95,Sammy Watkins,WR,KC,12,30
136,96,Chicago Defense,DEF,CHI,6,31
76,97,Cam Newton,QB,CAR,7,2
133,98,David Njoku,TE,CLE,7,21
93,99,Kyler Murray,QB,ARI,12,1
94,100,Sterling Shepard,WR,NYG,11,15
134,101,Duke Johnson,RB,HOU,10,29
121,102,Marquez Valdes-Scantling,WR,GB,11,21
95,103,Marvin Jones,WR,DET,5,22
77,104,Jared Goff,QB,LAR,9,7
99,105,Josh Gordon,WR,NE,10,20
115,106,Jaylen Samuels,RB,PIT,7,2
130,107,Corey Davis,WR,TEN,11,31
135,108,Ronald Jones II,RB,TB,7,30
158,109,LeSean McCoy,RB,BUF,6,14
138,110,D.K. Metcalf,WR,SEA,11,7
56,111,Russell Wilson,QB,SEA,11,5
88,112,Emmanuel Sanders,WR,DEN,10,32
122,113,Courtland Sutton,WR,DEN,10,32
148,114,LA Rams Defense,DEF,LAR,9,7
96,115,Jameis Winston,QB,TB,7,9
159,116,Austin Hooper,TE,ATL,9,27
139,117,Devin Singletary,RB,BUF,6,14
97,118,DeSean Jackson,WR,PHI,10,18
137,119,James Washington,WR,PIT,7,25
