Manager,Week,Pos,,% Start,Pass Yds,Pass TD,Int,Att*,Rush Yds,Rush TD,Tgt*,Rec,Rec Yds,Rec TD,Ret Yds,Ret TD,2PT,Fum Lost
,,Pos,Kickers,Field Goals Made,,,,,Field Goals Missed,,,PAT,,,,,,
,,Pos,Kickers,0-19,20-29,30-39,40-49,50+,0-19,20-29,30-39,Made,,,,,,
,,Pos,Defense/Special Teams,,Tackles,,Turnovers,,TD,Miscellaneous,,,,,,,,
,,Pos,Defense/Special Teams,Pts vs.,Sack,Safe,Int,Fum Rec,TD,Blk Kick,4 Dwn Stops,Yds Allow*,3 And Outs,,,,,
,,Pos,Defensive Players,Return,,Tackles,,,,,Misc,,Turnovers,,,,TD,
,,Pos,Defensive Players,Yds,TD,Tack Solo,Tack Ast,TFL,Sack,Safe,Pass Def,Blk Kick,Int,Fum Force,Fum Rec,Ret Yds,TD,
Tyler,13,QB,Josh Allen Buf - QB,39%,231,1,0,10,43,1,0,0,0,0,0,0,0,0
Tyler,13,QB,Kirk Cousins Min - QB,33%,276,2,1,0,0,0,0,0,0,0,0,0,0,0
Tyler,13,WR,DJ Chark Jr. Jax - WR,88%,0,0,0,0,0,0,5,2,47,0,0,0,0,0
Tyler,13,WR,Davante Adams GB - WR,95%,0,0,0,0,0,0,10,6,64,2,0,0,0,0
Tyler,13,WR,Will Fuller V Hou - WR,24%,0,0,0,0,0,0,2,1,8,0,0,0,0,0
Tyler,13,RB,Josh Jacobs Oak - RB,88%,0,0,0,17,104,0,0,0,0,0,0,0,0,0
Tyler,13,RB,Austin Ekeler LAC - RB,57%,0,0,0,9,16,0,5,4,51,1,0,0,0,0
Tyler,13,TE,Mark Andrews Bal - TE,79%,0,0,0,0,0,0,6,3,50,1,0,0,0,0
Tyler,13,W/R/T,Benny Snell Jr. Pit - RB,15%,0,0,0,16,63,1,1,1,4,0,0,0,0,0
Tyler,13,BN,Marvin Jones Jr. Det - WR,39%,0,0,0,0,0,0,6,3,40,1,0,0,0,0
Tyler,13,BN,David Montgomery Chi - RB,53%,0,0,0,16,75,0,2,2,12,1,0,0,0,0
Tyler,13,BN,Kareem Hunt Cle - RB,44%,0,0,0,7,46,0,5,5,19,1,0,0,0,0
Tyler,13,BN,Jacob Hollister Sea - TE,26%,0,0,0,0,0,0,8,6,44,0,0,0,0,0
Tyler,13,BN,Deebo Samuel SF - WR,23%,0,0,0,1,20,0,4,2,41,1,0,0,0,0
Tyler,13,K,Wil Lutz NO - K,0,1,0,3,0,0,0,0,2
Tyler,13,DEF,Carolina Car - DEF,29,5,0,0,0,0,1,0,362,4
Tyler,13,BN,New England NE - DEF,28,3,0,0,0,0,0,0,276,4
Tyler,13,D,Jerome Baker Mia - LB,0,0,2,2,0,0,0,0,0,0,0,0,0,0,
Tyler,13,D,Jordan Hicks Ari - LB,0,0,3,2,0,0,0,0,0,0,0,0,0,0,
Tyler,13,D,Fred Warner SF - LB,0,0,8,3,0,0,0,2,0,0,0,0,0,0,
Tyler,13,DB,Jamal Adams NYJ - S,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Tyler,13,DB,Taylor Rapp LAR - S,0,0,2,0,0,0,0,2,0,1,0,0,31,1,
Tyler,12,QB,Josh Allen Buf - QB,46%,185,2,1,9,56,0,0,0,0,0,0,0,0,0
Tyler,12,QB,Ryan Finley Cin - QB,1%,192,1,0,2,8,0,0,0,0,0,0,0,0,1
Tyler,12,WR,DJ Chark Jr. Jax - WR,88%,0,0,0,0,0,0,6,5,38,0,0,0,1,0
Tyler,12,WR,Davante Adams GB - WR,91%,0,0,0,0,0,0,12,7,43,1,0,0,1,0
Tyler,12,WR,Marvin Jones Jr. Det - WR,66%,0,0,0,0,0,0,11,5,46,0,0,0,0,0
Tyler,12,RB,Josh Jacobs Oak - RB,92%,0,0,0,10,34,0,1,1,2,0,0,0,0,0
Tyler,12,RB,Kareem Hunt Cle - RB,67%,0,0,0,8,37,1,3,2,9,0,0,0,0,0
Tyler,12,TE,Mark Andrews Bal - TE,87%,0,0,0,0,0,0,3,2,45,0,0,0,0,0
Tyler,12,W/R/T,David Montgomery Chi - RB,68%,0,0,0,13,22,0,3,2,9,0,0,0,0,0
Tyler,12,BN,Kirk Cousins Min - QB,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,12,BN,Austin Ekeler LAC - RB,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,12,BN,Jacob Hollister Sea - TE,67%,0,0,0,0,0,0,4,2,22,0,0,0,0,0
Tyler,12,BN,Deebo Samuel SF - WR,43%,0,0,0,0,0,0,2,2,50,1,0,0,0,0
Tyler,12,BN,Will Fuller V Hou - WR,22%,0,0,0,0,0,0,11,7,140,0,0,0,0,0
Tyler,12,K,Wil Lutz NO - K,0,0,1,1,0,0,0,0,4
Tyler,12,DEF,New England NE - DEF,9,0,0,1,0,0,1,1,321,3
Tyler,12,D,Shaq Thompson Car - LB,0,0,5,2,0,0,0,0,0,0,0,0,0,0,
Tyler,12,D,Jerome Baker Mia - LB,0,0,4,3,0,0,0,0,0,0,0,0,0,0,
Tyler,12,D,Fred Warner SF - LB,0,0,11,0,1,1,0,0,0,0,1,0,0,0,
Tyler,12,DB,Jamal Adams NYJ - S,0,0,5,2,0,0.5,0,0,0,0,0,0,0,0,
Tyler,12,DB,Jabrill Peppers NYG - S,63,0,4,1,1,0,0,0,0,0,0,0,0,0,
Tyler,12,BN,Jordan Hicks Ari - LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,11,QB,Kirk Cousins Min - QB,42%,319,3,0,2,1,0,0,0,0,0,0,0,0,1
Tyler,11,QB,Josh Allen Buf - QB,61%,256,3,0,7,56,1,0,0,0,0,0,0,0,0
Tyler,11,WR,Marvin Jones Jr. Det - WR,55%,0,0,0,1,4,0,5,4,43,2,0,0,0,0
Tyler,11,WR,DJ Chark Jr. Jax - WR,70%,0,0,0,0,0,0,15,8,104,2,0,0,0,0
